Transition,Species,Line,Frequency (MHz),delta_f_MHz_100kms,clean_score,clean
H164alpha,H,H164,1477.335105,0.49278594760379196,1.0,True
H165alpha,H,H165,1450.716777,0.48390702910878436,0.9958121060183526,True
H166alpha,H,H166,1424.734102,0.4752401416315816,1.0,True
H167alpha,H,H167,1399.368217,0.4667789931526563,1.0,True
H168alpha,H,H168,1374.600927,0.45851751447329603,0.9998911959098729,True
H169alpha,H,H169,1350.414681,0.45044985121006614,1.0,True
H170alpha,H,H170,1326.792537,0.4425703521200657,1.0,True
H171alpha,H,H171,1303.718144,0.4348735630967741,1.0,True
H172alpha,H,H172,1281.175719,0.42735421949807695,0.8233754985582171,False
H173alpha,H,H173,1259.150019,0.42000723680647095,0.6081436018588119,False
H174alpha,H,H174,1237.626322,0.4128277042913468,1.0,True
H175alpha,H,H175,1216.590408,0.40581087867127064,1.0,True
H176alpha,H,H176,1196.028536,0.3989521764420104,1.0,True
H177alpha,H,H177,1175.927428,0.3922471685395101,0.0,False
H178alpha,H,H178,1156.27425,0.38569157400217186,1.0,True
H179alpha,H,H179,1137.056593,0.3792812536331384,0.9931470674696786,True
H180alpha,H,H180,1118.262461,0.3730122059975238,0.938750982295724,False
H181alpha,H,H181,1099.88025,0.3668805604175672,0.9903097171997113,True
H182alpha,H,H182,1081.898736,0.3608825729698644,0.4814911385329925,False
H183alpha,H,H183,1064.30706,0.3550146214819054,1.0,True
H184alpha,H,H184,1047.094715,0.34927320119574184,1.0,True
H185alpha,H,H185,1030.251531,0.34365491976452595,1.0,True
H186alpha,H,H186,1013.767665,0.3381564939168683,1.0,True
H187alpha,H,H187,997.6335837,0.3327747436861804,1.0,True
H188alpha,H,H188,981.84006,0.3275065912431993,1.0,True
H189alpha,H,H189,966.3781549,0.32234905485847815,0.7901533498098142,False
H190alpha,H,H190,951.2392103,0.31729924650072416,1.0,True
H191alpha,H,H191,936.4148375,0.31235436800081207,1.0,True
H192alpha,H,H192,921.8969082,0.30751170804970684,0.38493310310685636,False
H193alpha,H,H193,907.6775449,0.30276863899624856,0.25393913581447836,False
H194alpha,H,H194,893.7491117,0.29812261377836263,1.0,True
H195alpha,H,H195,880.1042058,0.2935711630877652,0.2960664353642465,False
H196alpha,H,H196,866.7356494,0.28911189266809373,1.0,True
H197alpha,H,H197,853.6364817,0.2847424806463944,1.0,True
H198alpha,H,H198,840.7999512,0.2804606749646784,0.0,False
H199alpha,H,H199,828.2195084,0.2762642909449043,0.9206892083926107,False
H200alpha,H,H200,815.8887989,0.27215120898738554,1.0,True
H201alpha,H,H201,803.8016564,0.26811937223584187,1.0,True
H202alpha,H,H202,791.9520966,0.2641667845426585,0.9900628911292607,True
H203alpha,H,H203,780.3343107,0.2602915083007191,0.002173175622739739,False
H204alpha,H,H204,768.9426596,0.2564916625087346,0.9911682436128525,True
H205alpha,H,H205,757.7716677,0.2527654207031452,0.9915650836338245,True
H206alpha,H,H206,746.8160182,0.24911100939036968,0.00034942223153686184,False
