Frequency (MHz),trace_0,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,SK_cal,combined_clean
300.0,-173.03517150878906,-172.75924682617188,-173.03225708007812,-172.90411376953125,-172.92420959472656,-173.0408935546875,-172.7767333984375,-173.04391479492188,-172.88473510742188,-172.71810913085938,1.0303370976647466,1.0
300.0500001388893,-172.8417510986328,-172.6824951171875,-172.87847900390625,-173.0048828125,-172.71343994140625,-173.00784301757812,-172.81422424316406,-172.82383728027344,-172.8412628173828,-172.86061096191406,0.9897186620859886,1.0
300.1000002777786,-172.5522003173828,-172.77444458007812,-172.7552947998047,-172.85975646972656,-172.89511108398438,-172.88421630859375,-172.85507202148438,-172.76524353027344,-172.93003845214844,-172.86285400390625,0.9761414645981262,1.0
300.1500004166678,-172.8228302001953,-172.9790802001953,-172.8808135986328,-172.82969665527344,-172.8330078125,-172.8277587890625,-172.78717041015625,-172.73541259765625,-172.9756622314453,-172.8072967529297,1.024026154647719,1.0
300.2000005555571,-172.8647918701172,-173.00634765625,-173.07968139648438,-173.05215454101562,-172.7265167236328,-173.06800842285156,-172.82907104492188,-172.79269409179688,-172.91380310058594,-172.88916015625,0.9778808479127471,1.0
300.2500006944464,-172.7838592529297,-172.93963623046875,-172.93923950195312,-172.8926544189453,-172.87876892089844,-173.08274841308594,-172.77452087402344,-173.00979614257812,-173.01324462890625,-172.8641357421875,1.0223490469192034,1.0
300.3000008333357,-172.76036071777344,-172.91860961914062,-173.0813446044922,-172.70556640625,-172.84239196777344,-173.1282501220703,-172.93231201171875,-172.98895263671875,-173.0032196044922,-173.0200653076172,1.0186646078768997,1.0
300.3500009722249,-172.77186584472656,-172.9582977294922,-172.9340362548828,-172.8060760498047,-172.8531494140625,-172.8856964111328,-172.7003936767578,-172.8660125732422,-172.95957946777344,-172.80166625976562,1.0379709521005531,1.0
300.4000011111142,-172.7128448486328,-172.86878967285156,-172.89402770996094,-173.02622985839844,-172.72047424316406,-173.03140258789062,-172.9265899658203,-172.86544799804688,-172.9582061767578,-172.8631591796875,0.9833260647197278,1.0
300.4500012500035,-172.7245330810547,-172.8506317138672,-172.95001220703125,-172.84637451171875,-173.0308837890625,-172.8626708984375,-172.7886962890625,-173.02407836914062,-173.0055389404297,-172.81198120117188,1.0212951715260492,1.0
300.50000138889277,-172.87277221679688,-172.94873046875,-172.88717651367188,-172.8740997314453,-172.92066955566406,-172.92166137695312,-173.04017639160156,-172.8570098876953,-172.9315185546875,-172.81898498535156,0.9808886683350505,1.0
