Transition,Species,Line,Frequency (MHz),delta_f_MHz_100kms,delta_f_kHz_100kms,clean_score,region,clean
H164alpha,H,H164,1477.335105,0.49278594760379196,492.78594760379195,1.0,high frequency,True
H165alpha,H,H165,1450.716777,0.48390702910878436,483.90702910878434,0.9958121060183526,high frequency,True
H166alpha,H,H166,1424.734102,0.4752401416315816,475.24014163158165,1.0,high frequency,True
H167alpha,H,H167,1399.368217,0.4667789931526563,466.7789931526563,1.0,high frequency,True
H168alpha,H,H168,1374.600927,0.45851751447329603,458.51751447329605,0.9998911959098729,high frequency,True
H169alpha,H,H169,1350.414681,0.45044985121006614,450.44985121006613,1.0,high frequency,True
H170alpha,H,H170,1326.792537,0.4425703521200657,442.5703521200657,1.0,high frequency,True
H171alpha,H,H171,1303.718144,0.4348735630967741,434.8735630967741,1.0,high frequency,True
H172alpha,H,H172,1281.175719,0.42735421949807695,427.35421949807693,0.8052331640954468,high frequency,False
H173alpha,H,H173,1259.150019,0.42000723680647095,420.0072368064709,0.5965714007024664,high frequency,False
H174alpha,H,H174,1237.626322,0.4128277042913468,412.8277042913468,1.0,high frequency,True
H175alpha,H,H175,1216.590408,0.40581087867127064,405.81087867127064,1.0,high frequency,True
H176alpha,H,H176,1196.028536,0.3989521764420104,398.9521764420104,1.0,high frequency,True
H177alpha,H,H177,1175.927428,0.3922471685395101,392.2471685395101,0.0,high frequency,False
H178alpha,H,H178,1156.27425,0.38569157400217186,385.6915740021719,1.0,high frequency,True
H179alpha,H,H179,1137.056593,0.3792812536331384,379.2812536331384,0.9931470674696786,high frequency,True
H180alpha,H,H180,1118.262461,0.3730122059975238,373.01220599752384,0.9328001607144368,high frequency,False
H181alpha,H,H181,1099.88025,0.3668805604175672,366.8805604175672,0.9903097171997113,high frequency,True
H182alpha,H,H182,1081.898736,0.3608825729698644,360.88257296986444,0.4813986778142226,high frequency,False
H183alpha,H,H183,1064.30706,0.3550146214819054,355.01462148190535,1.0,high frequency,True
H184alpha,H,H184,1047.094715,0.34927320119574184,349.2732011957418,1.0,high frequency,True
H185alpha,H,H185,1030.251531,0.34365491976452595,343.65491976452597,1.0,high frequency,True
H186alpha,H,H186,1013.767665,0.3381564939168683,338.1564939168683,1.0,high frequency,True
H187alpha,H,H187,997.6335837,0.3327747436861804,332.7747436861804,1.0,high frequency,True
H188alpha,H,H188,981.84006,0.3275065912431993,327.5065912431993,1.0,high frequency,True
H189alpha,H,H189,966.3781549,0.32234905485847815,322.34905485847815,0.7901533498098142,high frequency,False
H190alpha,H,H190,951.2392103,0.31729924650072416,317.29924650072417,1.0,high frequency,True
H191alpha,H,H191,936.4148375,0.31235436800081207,312.3543680008121,1.0,high frequency,True
H192alpha,H,H192,921.8969082,0.30751170804970684,307.51170804970684,0.3843196274323047,high frequency,False
H193alpha,H,H193,907.6775449,0.30276863899624856,302.76863899624857,0.25384013712324843,high frequency,False
H194alpha,H,H194,893.7491117,0.29812261377836263,298.1226137783626,1.0,high frequency,True
H195alpha,H,H195,880.1042058,0.2935711630877652,293.5711630877652,0.29173616601506563,high frequency,False
H196alpha,H,H196,866.7356494,0.28911189266809373,289.11189266809373,1.0,high frequency,True
H197alpha,H,H197,853.6364817,0.2847424806463944,284.7424806463944,1.0,high frequency,True
H198alpha,H,H198,840.7999512,0.2804606749646784,280.4606749646784,0.0,high frequency,False
H199alpha,H,H199,828.2195084,0.2762642909449043,276.2642909449043,0.9085481969331978,high frequency,False
H200alpha,H,H200,815.8887989,0.27215120898738554,272.15120898738553,1.0,high frequency,True
H201alpha,H,H201,803.8016564,0.26811937223584187,268.11937223584187,1.0,high frequency,True
H202alpha,H,H202,791.9520966,0.2641667845426585,264.1667845426585,0.9900628911292607,mid frequency,True
H203alpha,H,H203,780.3343107,0.2602915083007191,260.2915083007191,0.002173175622739739,mid frequency,False
H204alpha,H,H204,768.9426596,0.2564916625087346,256.49166250873463,0.9911682436128525,mid frequency,True
H205alpha,H,H205,757.7716677,0.2527654207031452,252.76542070314522,0.9915650836338245,mid frequency,True
H206alpha,H,H206,746.8160182,0.24911100939036968,249.11100939036967,0.00034942223153686184,mid frequency,False
H207alpha,H,H207,736.070547,0.24552670601206386,245.52670601206387,0.0,mid frequency,False
H208alpha,H,H208,725.5302379,0.2420108373440135,242.01083734401348,0.0,mid frequency,False
H209alpha,H,H209,715.1902178,0.2385617778950263,238.5617778950263,0.9066428790704909,mid frequency,False
H210alpha,H,H210,705.0457519,0.2351779483058243,235.17794830582432,0.0,mid frequency,False
